Date_Time (LST/LDT), Event, Speed (knots)
1/1/18 1:35, flood,1
1/1/18 5:29, slack,-
1/1/18 7:43, ebb,-0.3
1/1/18 10:38, slack,-
1/1/18 13:29, flood,0.4
1/1/18 15:47, slack,-
1/1/18 19:13, ebb,-0.4
1/1/18 22:20, slack,-
1/2/18 2:23, flood,1
1/2/18 6:17, slack,-
1/2/18 8:31, ebb,-0.3
1/2/18 11:32, slack,-
1/2/18 14:23, flood,0.4
1/2/18 16:41, slack,-
1/2/18 20:01, ebb,-0.4
1/2/18 23:02, slack,-
1/3/18 3:17, flood,1
1/3/18 7:05, slack,-
1/3/18 9:19, ebb,-0.3
1/3/18 12:26, slack,-
1/3/18 15:17, flood,0.3
1/3/18 17:35, slack,-
1/3/18 20:49, ebb,-0.4
1/3/18 23:50, slack,-
1/4/18 4:05, flood,1
1/4/18 7:53, slack,-
1/4/18 10:07, ebb,-0.3
1/4/18 13:26, slack,-
1/4/18 16:17, flood,0.3
1/4/18 18:29, slack,-
1/4/18 21:37, ebb,-0.4
1/5/18 0:44, slack,-
1/5/18 4:53, flood,0.9
1/5/18 8:35, slack,-
1/5/18 11:01, ebb,-0.3
1/5/18 14:26, slack,-
1/5/18 17:11, flood,0.3
1/5/18 19:35, slack,-
1/5/18 22:31, ebb,-0.3
1/6/18 1:32, slack,-
1/6/18 5:41, flood,0.8
1/6/18 9:23, slack,-
1/6/18 12:01, ebb,-0.3
1/6/18 15:20, slack,-
1/6/18 18:11, flood,0.3
1/6/18 20:47, slack,-
1/6/18 23:31, ebb,-0.2
1/7/18 2:32, slack,-
1/7/18 6:29, flood,0.7
1/7/18 10:05, slack,-
1/7/18 13:01, ebb,-0.3
1/7/18 16:20, slack,-
1/7/18 19:17, flood,0.3
1/7/18 22:17, slack,-
1/8/18 0:43, ebb,-0.2
1/8/18 3:26, slack,-
1/8/18 7:17, flood,0.6
1/8/18 10:53, slack,-
1/8/18 13:55, ebb,-0.3
1/8/18 17:14, slack,-
1/8/18 20:35, flood,0.3
1/8/18 23:53, slack,-
1/9/18 2:01, ebb,-0.1
1/9/18 4:32, slack,-
1/9/18 8:17, flood,0.4
1/9/18 11:35, slack,-
1/9/18 14:43, ebb,-0.3
1/9/18 18:08, slack,-
1/9/18 21:59, flood,0.4
1/10/18 1:17, slack,-
1/10/18 3:19, ebb,-0.1
1/10/18 5:44, slack,-
1/10/18 9:17, flood,0.4
1/10/18 12:23, slack,-
1/10/18 15:31, ebb,-0.3
1/10/18 18:56, slack,-
1/10/18 22:59, flood,0.5
1/11/18 2:23, slack,-
1/11/18 4:31, ebb,-0.1
1/11/18 6:56, slack,-
1/11/18 10:17, flood,0.3
1/11/18 12:59, slack,-
1/11/18 16:13, ebb,-0.3
1/11/18 19:38, slack,-
1/11/18 23:47, flood,0.6
1/12/18 3:23, slack,-
1/12/18 5:43, ebb,-0.1
1/12/18 8:02, slack,-
