Date_Time (LST/LDT), Event, Speed (knots)
1/1/18 0:09, flood,4.6
1/1/18 4:25, slack,-
1/1/18 7:12, ebb,-2.2
1/1/18 10:10, slack,-
1/1/18 11:51, flood,1.5
1/1/18 14:31, slack,-
1/1/18 18:42, ebb,-4.3
1/1/18 22:10, slack,-
1/2/18 1:03, flood,5
1/2/18 5:13, slack,-
1/2/18 8:00, ebb,-2.4
1/2/18 11:04, slack,-
1/2/18 12:45, flood,1.5
1/2/18 15:19, slack,-
1/2/18 19:30, ebb,-4.3
1/2/18 22:52, slack,-
1/3/18 1:45, flood,5.1
1/3/18 6:01, slack,-
1/3/18 8:54, ebb,-2.6
1/3/18 11:58, slack,-
1/3/18 13:39, flood,1.5
1/3/18 16:13, slack,-
1/3/18 20:24, ebb,-4.1
1/3/18 23:40, slack,-
1/4/18 2:33, flood,5
1/4/18 6:43, slack,-
1/4/18 9:42, ebb,-2.7
1/4/18 12:58, slack,-
1/4/18 14:33, flood,1.5
1/4/18 17:07, slack,-
1/4/18 21:12, ebb,-3.8
1/5/18 0:28, slack,-
1/5/18 3:21, flood,4.7
1/5/18 7:25, slack,-
1/5/18 10:30, ebb,-2.8
1/5/18 13:58, slack,-
1/5/18 15:33, flood,1.4
1/5/18 18:07, slack,-
1/5/18 22:06, ebb,-3.3
1/6/18 1:16, slack,-
1/6/18 4:09, flood,4.2
1/6/18 8:07, slack,-
1/6/18 11:24, ebb,-2.8
1/6/18 14:58, slack,-
1/6/18 16:33, flood,1.3
1/6/18 19:13, slack,-
1/6/18 23:00, ebb,-2.8
1/7/18 2:10, slack,-
1/7/18 4:57, flood,3.5
1/7/18 8:49, slack,-
1/7/18 12:18, ebb,-2.9
1/7/18 16:04, slack,-
1/7/18 17:39, flood,1.3
1/7/18 20:25, slack,-
1/8/18 0:06, ebb,-2.2
1/8/18 3:04, slack,-
1/8/18 5:51, flood,2.9
1/8/18 9:31, slack,-
1/8/18 13:12, ebb,-2.9
1/8/18 17:04, slack,-
1/8/18 18:51, flood,1.4
1/8/18 21:55, slack,-
1/9/18 1:12, ebb,-1.8
1/9/18 4:10, slack,-
1/9/18 6:45, flood,2.2
1/9/18 10:13, slack,-
1/9/18 14:06, ebb,-3
1/9/18 18:04, slack,-
1/9/18 20:03, flood,1.6
1/9/18 23:25, slack,-
1/10/18 2:30, ebb,-1.4
1/10/18 5:16, slack,-
1/10/18 7:39, flood,1.7
1/10/18 10:49, slack,-
1/10/18 15:00, ebb,-3
1/10/18 18:52, slack,-
1/10/18 21:15, flood,2
1/11/18 0:55, slack,-
1/11/18 3:42, ebb,-1.3
1/11/18 6:34, slack,-
1/11/18 8:33, flood,1.3
1/11/18 11:31, slack,-
1/11/18 15:48, ebb,-3.1
1/11/18 19:40, slack,-
1/11/18 22:09, flood,2.5
1/12/18 2:07, slack,-
1/12/18 4:54, ebb,-1.4
1/12/18 7:46, slack,-
1/12/18 9:33, flood,1
1/12/18 12:07, slack,-
1/12/18 16:36, ebb,-3.2
1/12/18 20:22, slack,-
1/12/18 22:57, flood,2.9
1/13/18 3:01, slack,-
1/13/18 5:48, ebb,-1.5
1/13/18 8:52, slack,-
1/13/18 10:21, flood,0.9
1/13/18 12:49, slack,-
1/13/18 17:24, ebb,-3.2
1/13/18 20:58, slack,-
1/13/18 23:39, flood,3.2
1/14/18 3:49, slack,-
1/14/18 6:36, ebb,-1.6
1/14/18 9:46, slack,-
1/14/18 11:09, flood,0.8
1/14/18 13:31, slack,-
1/14/18 18:00, ebb,-3.3
1/14/18 21:34, slack,-
1/15/18 0:21, flood,3.4
1/15/18 4:25, slack,-
1/15/18 7:18, ebb,-1.8
1/15/18 10:34, slack,-
1/15/18 11:51, flood,0.8
1/15/18 14:07, slack,-
1/15/18 18:36, ebb,-3.3
1/15/18 22:04, slack,-
1/16/18 0:57, flood,3.6
1/16/18 5:01, slack,-
1/16/18 7:54, ebb,-1.9
1/16/18 11:16, slack,-
1/16/18 12:33, flood,0.8
1/16/18 14:49, slack,-
1/16/18 19:12, ebb,-3.3
1/16/18 22:40, slack,-
1/17/18 1:27, flood,3.7
1/17/18 5:37, slack,-
1/17/18 8:30, ebb,-2
1/17/18 11:58, slack,-
1/17/18 13:09, flood,0.7
1/17/18 15:25, slack,-
1/17/18 19:48, ebb,-3.2
1/17/18 23:10, slack,-
1/18/18 1:57, flood,3.7
