Date_Time (LST/LDT), Event, Speed (knots)
1/26/17 5:20, slack,-
1/26/17 7:48, ebb,-1.3
1/26/17 11:51, slack,-
1/26/17 13:19, flood,0.5
1/26/17 15:14, slack,-
1/26/17 19:06, ebb,-2.3
1/26/17 23:21, slack,-
1/27/17 2:19, flood,2.4
1/27/17 5:56, slack,-
1/27/17 8:24, ebb,-1.5
1/27/17 12:27, slack,-
1/27/17 14:01, flood,0.6
1/27/17 16:02, slack,-
1/27/17 19:42, ebb,-2.3
1/27/17 23:57, slack,-
1/28/17 2:55, flood,2.5
1/28/17 6:26, slack,-
1/28/17 8:54, ebb,-1.6
1/28/17 13:03, slack,-
1/28/17 14:43, flood,0.7
1/28/17 16:44, slack,-
1/28/17 20:24, ebb,-2.3
1/29/17 0:27, slack,-
1/29/17 3:25, flood,2.5
1/29/17 7:02, slack,-
1/29/17 9:30, ebb,-1.7
1/29/17 13:39, slack,-
1/29/17 15:25, flood,0.8
1/29/17 17:32, slack,-
1/29/17 21:00, ebb,-2.3
1/30/17 1:03, slack,-
1/30/17 4:01, flood,2.4
1/30/17 7:26, slack,-
1/30/17 10:06, ebb,-1.8
1/30/17 14:15, slack,-
1/30/17 16:07, flood,0.9
1/30/17 18:20, slack,-
1/30/17 21:42, ebb,-2.1
1/31/17 1:45, slack,-
1/31/17 4:37, flood,2.3
1/31/17 7:56, slack,-
1/31/17 10:42, ebb,-1.9
1/31/17 14:57, slack,-
1/31/17 16:49, flood,1
1/31/17 19:14, slack,-
1/31/17 22:30, ebb,-1.9
2/1/17 2:21, slack,-
2/1/17 5:13, flood,2.1
2/1/17 8:32, slack,-
2/1/17 11:24, ebb,-2
2/1/17 15:45, slack,-
2/1/17 17:49, flood,1.1
2/1/17 20:20, slack,-
2/1/17 23:18, ebb,-1.7
2/2/17 3:09, slack,-
2/2/17 5:55, flood,1.8
2/2/17 9:02, slack,-
2/2/17 12:06, ebb,-2.1
2/2/17 16:33, slack,-
2/2/17 18:43, flood,1.2
2/2/17 21:32, slack,-
2/3/17 0:18, ebb,-1.4
2/3/17 4:03, slack,-
2/3/17 6:43, flood,1.5
2/3/17 9:38, slack,-
2/3/17 13:00, ebb,-2.2
2/3/17 17:33, slack,-
2/3/17 19:55, flood,1.3
2/3/17 22:56, slack,-
2/4/17 1:30, ebb,-1.2
2/4/17 5:09, slack,-
2/4/17 7:37, flood,1.2
2/4/17 10:20, slack,-
2/4/17 14:00, ebb,-2.2
2/4/17 18:33, slack,-
2/4/17 21:07, flood,1.5
2/5/17 0:26, slack,-
2/5/17 2:48, ebb,-1
2/5/17 6:27, slack,-
2/5/17 8:43, flood,0.9
2/5/17 11:14, slack,-
2/5/17 15:00, ebb,-2.3
2/5/17 19:33, slack,-
2/5/17 22:19, flood,1.8
2/6/17 1:50, slack,-
2/6/17 4:12, ebb,-1.1
2/6/17 7:51, slack,-
2/6/17 9:55, flood,0.8
2/6/17 12:08, slack,-
2/6/17 16:06, ebb,-2.4
2/6/17 20:33, slack,-
2/6/17 23:25, flood,2.1
2/7/17 3:02, slack,-
2/7/17 5:24, ebb,-1.2
2/7/17 9:09, slack,-
2/7/17 11:01, flood,0.8
2/7/17 13:14, slack,-
2/7/17 17:06, ebb,-2.5
2/7/17 21:27, slack,-
2/8/17 0:25, flood,2.4
2/8/17 4:02, slack,-
2/8/17 6:24, ebb,-1.4
2/8/17 10:15, slack,-
2/8/17 12:07, flood,0.8
2/8/17 14:20, slack,-
2/8/17 18:00, ebb,-2.6
2/8/17 22:15, slack,-
2/9/17 1:13, flood,2.6
2/9/17 4:50, slack,-
2/9/17 7:18, ebb,-1.6
2/9/17 11:09, slack,-
2/9/17 13:01, flood,1
2/9/17 15:20, slack,-
2/9/17 18:54, ebb,-2.7
2/9/17 23:03, slack,-
2/10/17 2:01, flood,2.8
2/10/17 5:32, slack,-
2/10/17 8:00, ebb,-1.8
2/10/17 11:57, slack,-
2/10/17 13:55, flood,1.1
2/10/17 16:14, slack,-
2/10/17 19:42, ebb,-2.6
2/10/17 23:45, slack,-
2/11/17 2:43, flood,2.8
2/11/17 6:14, slack,-
2/11/17 8:48, ebb,-1.9
2/11/17 12:45, slack,-
2/11/17 14:43, flood,1.2
2/11/17 17:08, slack,-
2/11/17 20:30, ebb,-2.5
2/12/17 0:27, slack,-
2/12/17 3:25, flood,2.6
2/12/17 6:50, slack,-
2/12/17 9:24, ebb,-2
2/12/17 13:27, slack,-
2/12/17 15:31, flood,1.3
2/12/17 18:02, slack,-
2/12/17 21:12, ebb,-2.3
2/13/17 1:09, slack,-
2/13/17 4:01, flood,2.4
2/13/17 7:20, slack,-
2/13/17 10:06, ebb,-2
2/13/17 14:09, slack,-
2/13/17 16:19, flood,1.2
2/13/17 18:50, slack,-
2/13/17 21:54, ebb,-2.1
2/14/17 1:51, slack,-
2/14/17 4:37, flood,2.1
2/14/17 7:50, slack,-
2/14/17 10:42, ebb,-2
2/14/17 14:57, slack,-
2/14/17 17:01, flood,1.2
2/14/17 19:38, slack,-
2/14/17 22:36, ebb,-1.8
2/15/17 2:33, slack,-
2/15/17 5:13, flood,1.8
2/15/17 8:20, slack,-
2/15/17 11:18, ebb,-2
2/15/17 15:39, slack,-
2/15/17 17:49, flood,1.1
2/15/17 20:32, slack,-
2/15/17 23:24, ebb,-1.5
2/16/17 3:15, slack,-
2/16/17 5:49, flood,1.4
2/16/17 8:50, slack,-
2/16/17 12:00, ebb,-1.9
2/16/17 16:33, slack,-
2/16/17 18:43, flood,1
2/16/17 21:26, slack,-
2/17/17 0:12, ebb,-1.2
2/17/17 4:03, slack,-
2/17/17 6:31, flood,1.1
2/17/17 9:14, slack,-
2/17/17 12:42, ebb,-1.8
2/17/17 17:21, slack,-
2/17/17 19:37, flood,1
2/17/17 22:38, slack,-
2/18/17 1:12, ebb,-1
2/18/17 5:09, slack,-
2/18/17 7:13, flood,0.7
2/18/17 9:50, slack,-
2/18/17 13:36, ebb,-1.7
2/18/17 18:21, slack,-
2/18/17 20:43, flood,1
2/18/17 23:50, slack,-
2/19/17 2:24, ebb,-0.8
2/19/17 6:21, slack,-
2/19/17 8:13, flood,0.5
2/19/17 10:20, slack,-
2/19/17 14:30, ebb,-1.7
2/19/17 19:15, slack,-
2/19/17 21:49, flood,1.1
2/20/17 1:14, slack,-
2/20/17 3:42, ebb,-0.8
2/20/17 7:51, slack,-
2/20/17 9:19, flood,0.3
2/20/17 11:08, slack,-
2/20/17 15:30, ebb,-1.7
2/20/17 20:09, slack,-
2/20/17 22:55, flood,1.3
2/21/17 2:20, slack,-
2/21/17 4:54, ebb,-0.9
2/21/17 9:09, slack,-
2/21/17 10:25, flood,0.3
2/21/17 12:08, slack,-
2/21/17 16:24, ebb,-1.8
2/21/17 20:57, slack,-
2/21/17 23:49, flood,1.6
2/22/17 3:20, slack,-
2/22/17 5:48, ebb,-1.1
2/22/17 10:03, slack,-
2/22/17 11:25, flood,0.4
2/22/17 13:08, slack,-
2/22/17 17:18, ebb,-1.9
2/22/17 21:39, slack,-
2/23/17 0:31, flood,1.8
2/23/17 4:02, slack,-
2/23/17 6:30, ebb,-1.3
2/23/17 10:45, slack,-
2/23/17 12:13, flood,0.5
2/23/17 14:14, slack,-
2/23/17 18:06, ebb,-2.1
2/23/17 22:15, slack,-
2/24/17 1:13, flood,2
2/24/17 4:38, slack,-
2/24/17 7:12, ebb,-1.4
2/24/17 11:15, slack,-
2/24/17 13:01, flood,0.7
2/24/17 15:08, slack,-
2/24/17 18:48, ebb,-2.2
2/24/17 22:57, slack,-
2/25/17 1:49, flood,2.2
2/25/17 5:14, slack,-
2/25/17 7:48, ebb,-1.6
2/25/17 11:51, slack,-
2/25/17 13:43, flood,0.9
2/25/17 16:02, slack,-
2/25/17 19:30, ebb,-2.3
2/25/17 23:33, slack,-
2/26/17 2:25, flood,2.3
2/26/17 5:44, slack,-
2/26/17 8:24, ebb,-1.8
2/26/17 12:21, slack,-
2/26/17 14:25, flood,1.2
2/26/17 16:56, slack,-
2/26/17 20:06, ebb,-2.3
2/27/17 0:09, slack,-
2/27/17 2:55, flood,2.3
2/27/17 6:14, slack,-
2/27/17 8:54, ebb,-2
2/27/17 12:57, slack,-
2/27/17 15:07, flood,1.4
2/27/17 17:44, slack,-
2/27/17 20:48, ebb,-2.2
2/28/17 0:45, slack,-
2/28/17 3:31, flood,2.2
2/28/17 6:44, slack,-
2/28/17 9:30, ebb,-2.1
2/28/17 13:33, slack,-
2/28/17 15:49, flood,1.6
2/28/17 18:38, slack,-
2/28/17 21:30, ebb,-2.1
3/1/17 1:27, slack,-
3/1/17 4:07, flood,2.1
3/1/17 7:14, slack,-
3/1/17 10:06, ebb,-2.2
3/1/17 14:15, slack,-
3/1/17 16:37, flood,1.7
3/1/17 19:32, slack,-
3/1/17 22:18, ebb,-1.9
3/2/17 2:09, slack,-
3/2/17 4:49, flood,1.9
3/2/17 7:44, slack,-
3/2/17 10:48, ebb,-2.3
3/2/17 14:57, slack,-
3/2/17 17:31, flood,1.7
3/2/17 20:32, slack,-
3/2/17 23:12, ebb,-1.7
3/3/17 3:03, slack,-
3/3/17 5:31, flood,1.6
3/3/17 8:20, slack,-
3/3/17 11:36, ebb,-2.3
3/3/17 15:51, slack,-
3/3/17 18:25, flood,1.7
3/3/17 21:38, slack,-
3/4/17 0:12, ebb,-1.4
3/4/17 3:57, slack,-
3/4/17 6:19, flood,1.2
3/4/17 8:56, slack,-
3/4/17 12:24, ebb,-2.3
3/4/17 16:51, slack,-
3/4/17 19:31, flood,1.7
3/4/17 22:50, slack,-
3/5/17 1:18, ebb,-1.2
3/5/17 5:09, slack,-
3/5/17 7:19, flood,0.9
3/5/17 9:44, slack,-
3/5/17 13:30, ebb,-2.2
3/5/17 17:57, slack,-
3/5/17 20:43, flood,1.7
3/6/17 0:14, slack,-
3/6/17 2:42, ebb,-1.1
3/6/17 6:39, slack,-
3/6/17 8:31, flood,0.7
3/6/17 10:38, slack,-
3/6/17 14:36, ebb,-2.1
3/6/17 19:03, slack,-
3/6/17 21:55, flood,1.8
3/7/17 1:32, slack,-
3/7/17 4:00, ebb,-1.2
3/7/17 8:03, slack,-
3/7/17 9:49, flood,0.6
3/7/17 11:50, slack,-
3/7/17 15:48, ebb,-2.1
3/7/17 20:09, slack,-
3/7/17 23:07, flood,2
3/8/17 2:38, slack,-
3/8/17 5:12, ebb,-1.4
3/8/17 9:15, slack,-
3/8/17 11:01, flood,0.7
3/8/17 13:08, slack,-
3/8/17 16:54, ebb,-2.2
3/8/17 21:09, slack,-
3/9/17 0:01, flood,2.2
3/9/17 3:32, slack,-
3/9/17 6:06, ebb,-1.6
3/9/17 10:09, slack,-
3/9/17 12:07, flood,0.9
3/9/17 14:26, slack,-
3/9/17 17:54, ebb,-2.3
3/9/17 22:03, slack,-
3/10/17 0:55, flood,2.3
3/10/17 4:20, slack,-
3/10/17 6:54, ebb,-1.8
3/10/17 10:57, slack,-
3/10/17 13:01, flood,1.2
3/10/17 15:26, slack,-
3/10/17 18:48, ebb,-2.3
3/10/17 22:51, slack,-
3/11/17 1:37, flood,2.3
3/11/17 4:56, slack,-
3/11/17 7:36, ebb,-2
3/11/17 11:39, slack,-
3/11/17 13:49, flood,1.4
3/11/17 16:26, slack,-
3/11/17 19:36, ebb,-2.3
3/11/17 23:33, slack,-
3/12/17 3:19, flood,2.3
3/12/17 6:32, slack,-
3/12/17 9:18, ebb,-2.1
3/12/17 13:15, slack,-
3/12/17 15:31, flood,1.5
3/12/17 18:20, slack,-
3/12/17 21:18, ebb,-2.2
3/13/17 1:15, slack,-
3/13/17 3:55, flood,2.1
3/13/17 7:02, slack,-
3/13/17 9:54, ebb,-2.1
3/13/17 13:57, slack,-
3/13/17 16:13, flood,1.6
3/13/17 19:02, slack,-
3/13/17 22:00, ebb,-2
3/14/17 1:57, slack,-
3/14/17 4:31, flood,1.9
3/14/17 7:32, slack,-
3/14/17 10:24, ebb,-2.1
3/14/17 14:33, slack,-
3/14/17 16:55, flood,1.6
3/14/17 19:50, slack,-
3/14/17 22:36, ebb,-1.9
3/15/17 2:33, slack,-
3/15/17 5:01, flood,1.6
3/15/17 7:56, slack,-
3/15/17 11:00, ebb,-2.1
3/15/17 15:09, slack,-
3/15/17 17:37, flood,1.6
3/15/17 20:32, slack,-
3/15/17 23:18, ebb,-1.6
3/16/17 3:15, slack,-
3/16/17 5:31, flood,1.3
3/16/17 8:20, slack,-
3/16/17 11:30, ebb,-2
3/16/17 15:45, slack,-
3/16/17 18:13, flood,1.5
3/16/17 21:20, slack,-
3/17/17 0:00, ebb,-1.4
3/17/17 3:57, slack,-
3/17/17 6:13, flood,1
3/17/17 8:44, slack,-
3/17/17 12:06, ebb,-1.9
3/17/17 16:27, slack,-
3/17/17 19:01, flood,1.4
3/17/17 22:08, slack,-
3/18/17 0:48, ebb,-1.2
3/18/17 4:51, slack,-
3/18/17 6:49, flood,0.7
3/18/17 9:14, slack,-
3/18/17 12:48, ebb,-1.8
3/18/17 17:15, slack,-
3/18/17 19:49, flood,1.3
3/18/17 23:02, slack,-
3/19/17 1:42, ebb,-1
3/19/17 5:51, slack,-
3/19/17 7:37, flood,0.5
3/19/17 9:38, slack,-
3/19/17 13:36, ebb,-1.7
3/19/17 18:09, slack,-
3/19/17 20:49, flood,1.2
3/20/17 0:08, slack,-
3/20/17 2:48, ebb,-0.9
3/20/17 7:21, slack,-
3/20/17 8:31, flood,0.2
3/20/17 10:08, slack,-
3/20/17 14:30, ebb,-1.6
3/20/17 19:09, slack,-
3/20/17 21:49, flood,1.2
3/21/17 1:20, slack,-
3/21/17 4:06, ebb,-0.9
3/21/17 8:51, slack,-
3/21/17 9:43, flood,0.1
3/21/17 10:56, slack,-
3/21/17 15:36, ebb,-1.5
3/21/17 20:09, slack,-
3/21/17 23:01, flood,1.3
3/22/17 2:26, slack,-
3/22/17 5:12, ebb,-1
3/22/17 9:57, slack,-
3/22/17 10:55, flood,0.2
3/22/17 12:14, slack,-
3/22/17 16:42, ebb,-1.6
3/22/17 21:03, slack,-
3/22/17 23:55, flood,1.5
3/23/17 3:20, slack,-
3/23/17 6:06, ebb,-1.2
3/23/17 10:39, slack,-
3/23/17 12:01, flood,0.3
3/23/17 13:44, slack,-
3/23/17 17:42, ebb,-1.7
3/23/17 21:57, slack,-
3/24/17 0:43, flood,1.6
3/24/17 4:08, slack,-
3/24/17 6:54, ebb,-1.4
3/24/17 11:09, slack,-
3/24/17 12:55, flood,0.6
3/24/17 15:02, slack,-
3/24/17 18:36, ebb,-1.8
3/24/17 22:39, slack,-
3/25/17 1:31, flood,1.8
3/25/17 4:44, slack,-
3/25/17 7:30, ebb,-1.7
3/25/17 11:39, slack,-
3/25/17 13:37, flood,1
3/25/17 16:08, slack,-
3/25/17 19:24, ebb,-2
3/25/17 23:21, slack,-
3/26/17 2:07, flood,2
3/26/17 5:20, slack,-
3/26/17 8:06, ebb,-1.9
3/26/17 12:09, slack,-
3/26/17 14:25, flood,1.4
3/26/17 17:02, slack,-
3/26/17 20:06, ebb,-2.1
3/27/17 0:03, slack,-
3/27/17 2:43, flood,2
3/27/17 5:50, slack,-
3/27/17 8:42, ebb,-2.1
3/27/17 12:39, slack,-
3/27/17 15:07, flood,1.7
3/27/17 18:02, slack,-
3/27/17 20:54, ebb,-2.1
3/28/17 0:45, slack,-
3/28/17 3:19, flood,2
3/28/17 6:20, slack,-
3/28/17 9:18, ebb,-2.3
3/28/17 13:15, slack,-
3/28/17 15:49, flood,2
3/28/17 18:50, slack,-
3/28/17 21:36, ebb,-2.1
3/29/17 1:27, slack,-
3/29/17 4:01, flood,1.9
3/29/17 6:56, slack,-
3/29/17 9:54, ebb,-2.5
3/29/17 13:57, slack,-
3/29/17 16:31, flood,2.3
3/29/17 19:44, slack,-
3/29/17 22:24, ebb,-2
3/30/17 2:15, slack,-
3/30/17 4:37, flood,1.8
3/30/17 7:26, slack,-
3/30/17 10:36, ebb,-2.6
3/30/17 14:39, slack,-
3/30/17 17:19, flood,2.4
3/30/17 20:38, slack,-
3/30/17 23:12, ebb,-1.9
3/31/17 3:03, slack,-
3/31/17 5:19, flood,1.5
3/31/17 8:02, slack,-
3/31/17 11:18, ebb,-2.6
3/31/17 15:27, slack,-
3/31/17 18:13, flood,2.4
3/31/17 21:38, slack,-
4/1/17 0:06, ebb,-1.7
4/1/17 4:03, slack,-
4/1/17 6:07, flood,1.2
4/1/17 8:38, slack,-
4/1/17 12:06, ebb,-2.5
4/1/17 16:21, slack,-
4/1/17 19:07, flood,2.2
4/1/17 22:38, slack,-
4/2/17 1:06, ebb,-1.5
4/2/17 5:09, slack,-
4/2/17 7:01, flood,0.9
4/2/17 9:20, slack,-
4/2/17 13:00, ebb,-2.3
4/2/17 17:15, slack,-
4/2/17 20:13, flood,2.1
4/2/17 23:44, slack,-
4/3/17 2:18, ebb,-1.4
4/3/17 6:27, slack,-
4/3/17 8:07, flood,0.6
4/3/17 10:14, slack,-
4/3/17 14:00, ebb,-2.1
4/3/17 18:21, slack,-
4/3/17 21:19, flood,2
4/4/17 0:56, slack,-
4/4/17 3:36, ebb,-1.3
4/4/17 7:51, slack,-
4/4/17 9:25, flood,0.5
4/4/17 11:20, slack,-
4/4/17 15:18, ebb,-1.9
4/4/17 19:33, slack,-
4/4/17 22:31, flood,1.9
4/5/17 2:02, slack,-
4/5/17 4:48, ebb,-1.4
4/5/17 9:09, slack,-
4/5/17 10:49, flood,0.5
4/5/17 12:50, slack,-
4/5/17 16:30, ebb,-1.9
4/5/17 20:39, slack,-
4/5/17 23:37, flood,1.9
4/6/17 3:02, slack,-
4/6/17 5:54, ebb,-1.6
4/6/17 10:09, slack,-
4/6/17 12:01, flood,0.8
4/6/17 14:20, slack,-
4/6/17 17:42, ebb,-1.9
4/6/17 21:45, slack,-
4/7/17 0:37, flood,1.9
4/7/17 3:50, slack,-
4/7/17 6:42, ebb,-1.8
4/7/17 10:57, slack,-
4/7/17 13:01, flood,1.1
4/7/17 15:32, slack,-
4/7/17 18:42, ebb,-1.9
4/7/17 22:39, slack,-
4/8/17 1:25, flood,1.9
4/8/17 4:32, slack,-
4/8/17 7:30, ebb,-2
4/8/17 11:39, slack,-
4/8/17 13:55, flood,1.4
4/8/17 16:38, slack,-
4/8/17 19:36, ebb,-1.9
4/8/17 23:33, slack,-
4/9/17 2:07, flood,1.9
4/9/17 5:08, slack,-
4/9/17 8:06, ebb,-2.1
4/9/17 12:15, slack,-
4/9/17 14:37, flood,1.6
4/9/17 17:32, slack,-
4/9/17 20:24, ebb,-1.9
4/10/17 0:15, slack,-
4/10/17 2:49, flood,1.7
4/10/17 5:44, slack,-
4/10/17 8:42, ebb,-2.2
4/10/17 12:51, slack,-
4/10/17 15:19, flood,1.8
4/10/17 18:20, slack,-
4/10/17 21:06, ebb,-1.8
4/11/17 0:57, slack,-
4/11/17 3:25, flood,1.6
4/11/17 6:08, slack,-
4/11/17 9:18, ebb,-2.2
4/11/17 13:21, slack,-
4/11/17 15:55, flood,1.9
4/11/17 19:08, slack,-
4/11/17 21:48, ebb,-1.7
4/12/17 1:39, slack,-
4/12/17 3:55, flood,1.4
4/12/17 6:38, slack,-
4/12/17 9:48, ebb,-2.2
4/12/17 13:57, slack,-
4/12/17 16:37, flood,1.9
4/12/17 19:50, slack,-
4/12/17 22:24, ebb,-1.6
4/13/17 2:21, slack,-
4/13/17 4:31, flood,1.1
4/13/17 7:02, slack,-
4/13/17 10:18, ebb,-2.2
4/13/17 14:27, slack,-
4/13/17 17:07, flood,1.9
4/13/17 20:32, slack,-
4/13/17 23:06, ebb,-1.5
4/14/17 3:03, slack,-
4/14/17 5:01, flood,0.9
4/14/17 7:20, slack,-
4/14/17 10:48, ebb,-2.1
4/14/17 15:03, slack,-
4/14/17 17:49, flood,1.8
4/14/17 21:08, slack,-
4/14/17 23:42, ebb,-1.4
4/15/17 3:51, slack,-
4/15/17 5:37, flood,0.7
4/15/17 7:44, slack,-
4/15/17 11:24, ebb,-2
4/15/17 15:39, slack,-
4/15/17 18:25, flood,1.7
4/15/17 21:56, slack,-
4/16/17 0:30, ebb,-1.2
4/16/17 4:45, slack,-
4/16/17 6:19, flood,0.4
4/16/17 8:08, slack,-
4/16/17 12:00, ebb,-1.8
4/16/17 16:21, slack,-
4/16/17 19:13, flood,1.6
4/16/17 22:44, slack,-
4/17/17 1:18, ebb,-1.1
4/17/17 5:57, slack,-
4/17/17 7:01, flood,0.2
4/17/17 8:32, slack,-
4/17/17 12:42, ebb,-1.7
4/17/17 17:09, slack,-
4/17/17 20:01, flood,1.5
4/17/17 23:38, slack,-
4/18/17 2:18, ebb,-1.1
4/18/17 7:33, slack,-
4/18/17 8:50, slack,-
4/18/17 13:36, ebb,-1.5
4/18/17 18:03, slack,-
4/18/17 21:01, flood,1.4
4/19/17 0:32, slack,-
4/19/17 3:24, ebb,-1.1
4/19/17 14:42, ebb,-1.4
4/19/17 19:03, slack,-
4/19/17 22:01, flood,1.4
4/20/17 1:26, slack,-
4/20/17 4:24, ebb,-1.2
4/20/17 9:39, slack,-
4/20/17 10:25, flood,0.1
4/20/17 11:38, slack,-
4/20/17 15:54, ebb,-1.4
4/20/17 20:03, slack,-
4/20/17 22:55, flood,1.4
4/21/17 2:20, slack,-
4/21/17 5:18, ebb,-1.4
4/21/17 10:03, slack,-
4/21/17 11:31, flood,0.4
