Date_Time (LST/LDT), Event, Speed (knots)
1/26/17 0:15, flood,3.4
1/26/17 4:19, slack,-
1/26/17 7:18, ebb,-1.9
1/26/17 10:34, slack,-
1/26/17 11:51, flood,0.8
1/26/17 14:13, slack,-
1/26/17 18:36, ebb,-3.3
1/26/17 22:04, slack,-
1/27/17 0:51, flood,3.7
1/27/17 4:55, slack,-
1/27/17 7:54, ebb,-2.1
1/27/17 11:10, slack,-
1/27/17 12:33, flood,1
1/27/17 15:01, slack,-
1/27/17 19:12, ebb,-3.4
1/27/17 22:40, slack,-
1/28/17 1:27, flood,3.8
1/28/17 5:25, slack,-
1/28/17 8:24, ebb,-2.2
1/28/17 11:46, slack,-
1/28/17 13:15, flood,1.1
1/28/17 15:43, slack,-
1/28/17 19:54, ebb,-3.3
1/28/17 23:10, slack,-
1/29/17 1:57, flood,3.9
1/29/17 6:01, slack,-
1/29/17 9:00, ebb,-2.4
1/29/17 12:22, slack,-
1/29/17 13:57, flood,1.3
1/29/17 16:31, slack,-
1/29/17 20:30, ebb,-3.2
1/29/17 23:46, slack,-
1/30/17 2:33, flood,3.8
1/30/17 6:25, slack,-
1/30/17 9:36, ebb,-2.6
1/30/17 12:58, slack,-
1/30/17 14:39, flood,1.4
1/30/17 17:19, slack,-
1/30/17 21:12, ebb,-3.1
1/31/17 0:28, slack,-
1/31/17 3:09, flood,3.6
1/31/17 6:55, slack,-
1/31/17 10:12, ebb,-2.7
1/31/17 13:40, slack,-
1/31/17 15:21, flood,1.6
1/31/17 18:13, slack,-
1/31/17 22:00, ebb,-2.8
2/1/17 1:04, slack,-
2/1/17 3:45, flood,3.3
2/1/17 7:31, slack,-
2/1/17 10:54, ebb,-2.9
2/1/17 14:28, slack,-
2/1/17 16:21, flood,1.7
2/1/17 19:19, slack,-
2/1/17 22:48, ebb,-2.4
2/2/17 1:52, slack,-
2/2/17 4:27, flood,2.8
2/2/17 8:01, slack,-
2/2/17 11:36, ebb,-3
2/2/17 15:16, slack,-
2/2/17 17:15, flood,1.8
2/2/17 20:31, slack,-
2/2/17 23:48, ebb,-2
2/3/17 2:46, slack,-
2/3/17 5:15, flood,2.3
2/3/17 8:37, slack,-
2/3/17 12:30, ebb,-3.1
2/3/17 16:16, slack,-
2/3/17 18:27, flood,2
2/3/17 21:55, slack,-
2/4/17 1:00, ebb,-1.7
2/4/17 3:52, slack,-
2/4/17 6:09, flood,1.8
2/4/17 9:19, slack,-
2/4/17 13:30, ebb,-3.2
2/4/17 17:16, slack,-
2/4/17 19:39, flood,2.3
2/4/17 23:25, slack,-
2/5/17 2:18, ebb,-1.5
2/5/17 5:10, slack,-
2/5/17 7:15, flood,1.4
2/5/17 10:13, slack,-
2/5/17 14:30, ebb,-3.3
2/5/17 18:16, slack,-
2/5/17 20:51, flood,2.7
2/6/17 0:49, slack,-
2/6/17 3:42, ebb,-1.5
2/6/17 6:34, slack,-
2/6/17 8:27, flood,1.2
2/6/17 11:07, slack,-
2/6/17 15:36, ebb,-3.4
2/6/17 19:16, slack,-
2/6/17 21:57, flood,3.3
2/7/17 2:01, slack,-
2/7/17 4:54, ebb,-1.7
2/7/17 7:52, slack,-
2/7/17 9:33, flood,1.2
2/7/17 12:13, slack,-
2/7/17 16:36, ebb,-3.6
2/7/17 20:10, slack,-
2/7/17 22:57, flood,3.8
2/8/17 3:01, slack,-
2/8/17 5:54, ebb,-2
2/8/17 8:58, slack,-
2/8/17 10:39, flood,1.3
2/8/17 13:19, slack,-
2/8/17 17:30, ebb,-3.7
2/8/17 20:58, slack,-
2/8/17 23:45, flood,4.1
2/9/17 3:49, slack,-
2/9/17 6:48, ebb,-2.3
2/9/17 9:52, slack,-
2/9/17 11:33, flood,1.5
2/9/17 14:19, slack,-
2/9/17 18:24, ebb,-3.8
2/9/17 21:46, slack,-
2/10/17 0:33, flood,4.3
2/10/17 4:31, slack,-
2/10/17 7:30, ebb,-2.6
2/10/17 10:40, slack,-
2/10/17 12:27, flood,1.7
2/10/17 15:13, slack,-
2/10/17 19:12, ebb,-3.7
2/10/17 22:28, slack,-
2/11/17 1:15, flood,4.3
2/11/17 5:13, slack,-
2/11/17 8:18, ebb,-2.7
2/11/17 11:28, slack,-
2/11/17 13:15, flood,1.9
2/11/17 16:07, slack,-
2/11/17 20:00, ebb,-3.6
2/11/17 23:10, slack,-
2/12/17 1:57, flood,4.1
2/12/17 5:49, slack,-
2/12/17 8:54, ebb,-2.9
2/12/17 12:10, slack,-
2/12/17 14:03, flood,2
2/12/17 17:01, slack,-
2/12/17 20:42, ebb,-3.3
2/12/17 23:52, slack,-
2/13/17 2:33, flood,3.7
2/13/17 6:19, slack,-
2/13/17 9:36, ebb,-2.9
2/13/17 12:52, slack,-
2/13/17 14:51, flood,1.9
2/13/17 17:49, slack,-
2/13/17 21:24, ebb,-2.9
2/14/17 0:34, slack,-
2/14/17 3:09, flood,3.3
2/14/17 6:49, slack,-
2/14/17 10:12, ebb,-2.9
2/14/17 13:40, slack,-
2/14/17 15:33, flood,1.8
2/14/17 18:37, slack,-
2/14/17 22:06, ebb,-2.5
2/15/17 1:16, slack,-
2/15/17 3:45, flood,2.7
2/15/17 7:19, slack,-
2/15/17 10:48, ebb,-2.8
2/15/17 14:22, slack,-
2/15/17 16:21, flood,1.7
2/15/17 19:31, slack,-
2/15/17 22:54, ebb,-2.1
2/16/17 1:58, slack,-
2/16/17 4:21, flood,2.2
2/16/17 7:49, slack,-
2/16/17 11:30, ebb,-2.7
2/16/17 15:16, slack,-
2/16/17 17:15, flood,1.6
2/16/17 20:25, slack,-
2/16/17 23:42, ebb,-1.7
2/17/17 2:46, slack,-
2/17/17 5:03, flood,1.6
2/17/17 8:13, slack,-
2/17/17 12:12, ebb,-2.6
2/17/17 16:04, slack,-
2/17/17 18:09, flood,1.5
2/17/17 21:37, slack,-
2/18/17 0:42, ebb,-1.4
2/18/17 3:52, slack,-
2/18/17 5:45, flood,1.1
2/18/17 8:49, slack,-
2/18/17 13:06, ebb,-2.5
2/18/17 17:04, slack,-
2/18/17 19:15, flood,1.5
2/18/17 22:49, slack,-
2/19/17 1:54, ebb,-1.2
2/19/17 5:04, slack,-
2/19/17 6:45, flood,0.7
2/19/17 9:19, slack,-
2/19/17 14:00, ebb,-2.4
2/19/17 17:58, slack,-
2/19/17 20:21, flood,1.7
2/20/17 0:13, slack,-
2/20/17 3:12, ebb,-1.1
2/20/17 6:34, slack,-
2/20/17 7:51, flood,0.5
2/20/17 10:07, slack,-
2/20/17 15:00, ebb,-2.5
2/20/17 18:52, slack,-
2/20/17 21:27, flood,2
2/21/17 1:19, slack,-
2/21/17 4:24, ebb,-1.3
2/21/17 7:52, slack,-
2/21/17 8:57, flood,0.4
2/21/17 11:07, slack,-
2/21/17 15:54, ebb,-2.6
2/21/17 19:40, slack,-
2/21/17 22:21, flood,2.4
2/22/17 2:19, slack,-
2/22/17 5:18, ebb,-1.5
2/22/17 8:46, slack,-
2/22/17 9:57, flood,0.5
2/22/17 12:07, slack,-
2/22/17 16:48, ebb,-2.8
2/22/17 20:22, slack,-
2/22/17 23:03, flood,2.8
2/23/17 3:01, slack,-
2/23/17 6:00, ebb,-1.8
2/23/17 9:28, slack,-
2/23/17 10:45, flood,0.8
2/23/17 13:13, slack,-
2/23/17 17:36, ebb,-3
2/23/17 20:58, slack,-
2/23/17 23:45, flood,3.2
2/24/17 3:37, slack,-
2/24/17 6:42, ebb,-2.1
2/24/17 9:58, slack,-
2/24/17 11:33, flood,1.1
2/24/17 14:07, slack,-
2/24/17 18:18, ebb,-3.1
2/24/17 21:40, slack,-
2/25/17 0:21, flood,3.4
2/25/17 4:13, slack,-
2/25/17 7:18, ebb,-2.3
2/25/17 10:34, slack,-
2/25/17 12:15, flood,1.5
2/25/17 15:01, slack,-
2/25/17 19:00, ebb,-3.2
2/25/17 22:16, slack,-
2/26/17 0:57, flood,3.6
2/26/17 4:43, slack,-
2/26/17 7:54, ebb,-2.6
2/26/17 11:04, slack,-
2/26/17 12:57, flood,1.8
2/26/17 15:55, slack,-
2/26/17 19:36, ebb,-3.3
2/26/17 22:52, slack,-
2/27/17 1:27, flood,3.6
2/27/17 5:13, slack,-
2/27/17 8:24, ebb,-2.8
2/27/17 11:40, slack,-
2/27/17 13:39, flood,2.2
2/27/17 16:43, slack,-
2/27/17 20:18, ebb,-3.2
2/27/17 23:28, slack,-
2/28/17 2:03, flood,3.5
2/28/17 5:43, slack,-
2/28/17 9:00, ebb,-3.1
2/28/17 12:16, slack,-
2/28/17 14:21, flood,2.5
2/28/17 17:37, slack,-
2/28/17 21:00, ebb,-3
3/1/17 0:10, slack,-
3/1/17 2:39, flood,3.3
3/1/17 6:13, slack,-
3/1/17 9:36, ebb,-3.2
3/1/17 12:58, slack,-
3/1/17 15:09, flood,2.6
3/1/17 18:31, slack,-
3/1/17 21:48, ebb,-2.8
3/2/17 0:52, slack,-
3/2/17 3:21, flood,2.9
3/2/17 6:43, slack,-
3/2/17 10:18, ebb,-3.3
3/2/17 13:40, slack,-
3/2/17 16:03, flood,2.7
3/2/17 19:31, slack,-
3/2/17 22:42, ebb,-2.4
3/3/17 1:46, slack,-
3/3/17 4:03, flood,2.4
3/3/17 7:19, slack,-
3/3/17 11:06, ebb,-3.3
3/3/17 14:34, slack,-
3/3/17 16:57, flood,2.7
3/3/17 20:37, slack,-
3/3/17 23:42, ebb,-2.1
3/4/17 2:40, slack,-
3/4/17 4:51, flood,1.9
3/4/17 7:55, slack,-
3/4/17 11:54, ebb,-3.2
3/4/17 15:34, slack,-
3/4/17 18:03, flood,2.7
3/4/17 21:49, slack,-
3/5/17 0:48, ebb,-1.8
3/5/17 3:52, slack,-
3/5/17 5:51, flood,1.4
3/5/17 8:43, slack,-
3/5/17 13:00, ebb,-3.1
3/5/17 16:40, slack,-
3/5/17 19:15, flood,2.7
3/5/17 23:13, slack,-
3/6/17 2:12, ebb,-1.6
3/6/17 5:22, slack,-
3/6/17 7:03, flood,1
3/6/17 9:37, slack,-
3/6/17 14:06, ebb,-3
3/6/17 17:46, slack,-
3/6/17 20:27, flood,2.9
3/7/17 0:31, slack,-
3/7/17 3:30, ebb,-1.7
3/7/17 6:46, slack,-
3/7/17 8:21, flood,0.9
3/7/17 10:49, slack,-
3/7/17 15:18, ebb,-3.1
3/7/17 18:52, slack,-
3/7/17 21:39, flood,3.1
3/8/17 1:37, slack,-
3/8/17 4:42, ebb,-2
3/8/17 7:58, slack,-
3/8/17 9:33, flood,1.1
3/8/17 12:07, slack,-
3/8/17 16:24, ebb,-3.1
3/8/17 19:52, slack,-
3/8/17 22:33, flood,3.4
3/9/17 2:31, slack,-
3/9/17 5:36, ebb,-2.3
3/9/17 8:52, slack,-
3/9/17 10:39, flood,1.4
3/9/17 13:25, slack,-
3/9/17 17:24, ebb,-3.2
3/9/17 20:46, slack,-
3/9/17 23:27, flood,3.6
3/10/17 3:19, slack,-
3/10/17 6:24, ebb,-2.6
3/10/17 9:40, slack,-
3/10/17 11:33, flood,1.8
3/10/17 14:25, slack,-
3/10/17 18:18, ebb,-3.3
3/10/17 21:34, slack,-
3/11/17 0:09, flood,3.6
3/11/17 3:55, slack,-
3/11/17 7:06, ebb,-2.8
3/11/17 10:22, slack,-
3/11/17 12:21, flood,2.1
3/11/17 15:25, slack,-
3/11/17 19:06, ebb,-3.3
3/11/17 22:16, slack,-
3/12/17 1:51, flood,3.5
3/12/17 5:31, slack,-
3/12/17 8:48, ebb,-3
3/12/17 11:58, slack,-
3/12/17 14:03, flood,2.4
3/12/17 17:19, slack,-
3/12/17 20:48, ebb,-3.1
3/12/17 23:58, slack,-
3/13/17 2:27, flood,3.3
3/13/17 6:01, slack,-
3/13/17 9:24, ebb,-3
3/13/17 12:40, slack,-
3/13/17 14:45, flood,2.5
3/13/17 18:01, slack,-
3/13/17 21:30, ebb,-2.9
3/14/17 0:40, slack,-
3/14/17 3:03, flood,3
3/14/17 6:31, slack,-
3/14/17 9:54, ebb,-3
3/14/17 13:16, slack,-
3/14/17 15:27, flood,2.5
3/14/17 18:49, slack,-
3/14/17 22:06, ebb,-2.7
3/15/17 1:16, slack,-
3/15/17 3:33, flood,2.5
3/15/17 6:55, slack,-
3/15/17 10:30, ebb,-3
3/15/17 13:52, slack,-
3/15/17 16:09, flood,2.4
3/15/17 19:31, slack,-
3/15/17 22:48, ebb,-2.4
3/16/17 1:58, slack,-
3/16/17 4:03, flood,2.1
3/16/17 7:19, slack,-
3/16/17 11:00, ebb,-2.9
3/16/17 14:28, slack,-
3/16/17 16:45, flood,2.3
3/16/17 20:19, slack,-
3/16/17 23:30, ebb,-2
3/17/17 2:40, slack,-
3/17/17 4:45, flood,1.6
3/17/17 7:43, slack,-
3/17/17 11:36, ebb,-2.7
3/17/17 15:10, slack,-
3/17/17 17:33, flood,2.1
3/17/17 21:07, slack,-
3/18/17 0:18, ebb,-1.7
3/18/17 3:34, slack,-
3/18/17 5:21, flood,1.2
3/18/17 8:13, slack,-
3/18/17 12:18, ebb,-2.5
3/18/17 15:58, slack,-
3/18/17 18:21, flood,2
3/18/17 22:01, slack,-
3/19/17 1:12, ebb,-1.5
3/19/17 4:34, slack,-
3/19/17 6:09, flood,0.7
3/19/17 8:37, slack,-
3/19/17 13:06, ebb,-2.4
3/19/17 16:52, slack,-
3/19/17 19:21, flood,1.8
3/19/17 23:07, slack,-
3/20/17 2:18, ebb,-1.3
3/20/17 6:04, slack,-
3/20/17 7:03, flood,0.4
3/20/17 9:07, slack,-
3/20/17 14:00, ebb,-2.2
3/20/17 17:52, slack,-
3/20/17 20:21, flood,1.8
3/21/17 0:19, slack,-
3/21/17 3:36, ebb,-1.3
3/21/17 7:34, slack,-
3/21/17 8:15, flood,0.2
3/21/17 9:55, slack,-
3/21/17 15:06, ebb,-2.2
3/21/17 18:52, slack,-
3/21/17 21:33, flood,2
3/22/17 1:25, slack,-
3/22/17 4:42, ebb,-1.5
3/22/17 8:40, slack,-
3/22/17 9:27, flood,0.2
3/22/17 11:13, slack,-
3/22/17 16:12, ebb,-2.2
3/22/17 19:46, slack,-
3/22/17 22:27, flood,2.3
3/23/17 2:19, slack,-
3/23/17 5:36, ebb,-1.7
3/23/17 9:22, slack,-
3/23/17 10:33, flood,0.5
3/23/17 12:43, slack,-
3/23/17 17:12, ebb,-2.4
3/23/17 20:40, slack,-
3/23/17 23:15, flood,2.6
3/24/17 3:07, slack,-
3/24/17 6:24, ebb,-2
3/24/17 9:52, slack,-
3/24/17 11:27, flood,1
3/24/17 14:01, slack,-
3/24/17 18:06, ebb,-2.6
3/24/17 21:22, slack,-
3/25/17 0:03, flood,2.8
3/25/17 3:43, slack,-
3/25/17 7:00, ebb,-2.4
3/25/17 10:22, slack,-
3/25/17 12:09, flood,1.5
3/25/17 15:07, slack,-
3/25/17 18:54, ebb,-2.8
3/25/17 22:04, slack,-
3/26/17 0:39, flood,3
3/26/17 4:19, slack,-
3/26/17 7:36, ebb,-2.7
3/26/17 10:52, slack,-
3/26/17 12:57, flood,2.1
3/26/17 16:01, slack,-
3/26/17 19:36, ebb,-3
3/26/17 22:46, slack,-
3/27/17 1:15, flood,3.1
3/27/17 4:49, slack,-
3/27/17 8:12, ebb,-3.1
3/27/17 11:22, slack,-
3/27/17 13:39, flood,2.7
3/27/17 17:01, slack,-
3/27/17 20:24, ebb,-3.1
3/27/17 23:28, slack,-
3/28/17 1:51, flood,3.1
3/28/17 5:19, slack,-
3/28/17 8:48, ebb,-3.3
3/28/17 11:58, slack,-
3/28/17 14:21, flood,3.2
3/28/17 17:49, slack,-
3/28/17 21:06, ebb,-3
3/29/17 0:10, slack,-
3/29/17 2:33, flood,3
3/29/17 5:55, slack,-
3/29/17 9:24, ebb,-3.6
3/29/17 12:40, slack,-
3/29/17 15:03, flood,3.5
3/29/17 18:43, slack,-
3/29/17 21:54, ebb,-2.9
3/30/17 0:58, slack,-
3/30/17 3:09, flood,2.7
3/30/17 6:25, slack,-
3/30/17 10:06, ebb,-3.7
3/30/17 13:22, slack,-
3/30/17 15:51, flood,3.7
3/30/17 19:37, slack,-
3/30/17 22:42, ebb,-2.7
3/31/17 1:46, slack,-
3/31/17 3:51, flood,2.3
3/31/17 7:01, slack,-
3/31/17 10:48, ebb,-3.7
3/31/17 14:10, slack,-
3/31/17 16:45, flood,3.7
3/31/17 20:37, slack,-
3/31/17 23:36, ebb,-2.4
4/1/17 2:46, slack,-
4/1/17 4:39, flood,1.9
4/1/17 7:37, slack,-
4/1/17 11:36, ebb,-3.5
4/1/17 15:04, slack,-
4/1/17 17:39, flood,3.5
4/1/17 21:37, slack,-
4/2/17 0:36, ebb,-2.2
4/2/17 3:52, slack,-
4/2/17 5:33, flood,1.4
4/2/17 8:19, slack,-
4/2/17 12:30, ebb,-3.3
4/2/17 15:58, slack,-
4/2/17 18:45, flood,3.3
4/2/17 22:43, slack,-
4/3/17 1:48, ebb,-2
4/3/17 5:10, slack,-
4/3/17 6:39, flood,1
4/3/17 9:13, slack,-
4/3/17 13:30, ebb,-3
4/3/17 17:04, slack,-
4/3/17 19:51, flood,3.1
4/3/17 23:55, slack,-
4/4/17 3:06, ebb,-1.9
4/4/17 6:34, slack,-
4/4/17 7:57, flood,0.8
4/4/17 10:19, slack,-
4/4/17 14:48, ebb,-2.8
4/4/17 18:16, slack,-
4/4/17 21:03, flood,3
4/5/17 1:01, slack,-
4/5/17 4:18, ebb,-2.1
4/5/17 7:52, slack,-
4/5/17 9:21, flood,0.8
4/5/17 11:49, slack,-
4/5/17 16:00, ebb,-2.7
4/5/17 19:22, slack,-
4/5/17 22:09, flood,3
4/6/17 2:01, slack,-
4/6/17 5:24, ebb,-2.3
4/6/17 8:52, slack,-
4/6/17 10:33, flood,1.2
4/6/17 13:19, slack,-
4/6/17 17:12, ebb,-2.7
4/6/17 20:28, slack,-
4/6/17 23:09, flood,3
4/7/17 2:49, slack,-
4/7/17 6:12, ebb,-2.6
4/7/17 9:40, slack,-
4/7/17 11:33, flood,1.7
4/7/17 14:31, slack,-
4/7/17 18:12, ebb,-2.7
4/7/17 21:22, slack,-
4/7/17 23:57, flood,3
4/8/17 3:31, slack,-
4/8/17 7:00, ebb,-2.9
4/8/17 10:22, slack,-
4/8/17 12:27, flood,2.2
4/8/17 15:37, slack,-
4/8/17 19:06, ebb,-2.7
4/8/17 22:16, slack,-
4/9/17 0:39, flood,2.9
4/9/17 4:07, slack,-
4/9/17 7:36, ebb,-3.1
4/9/17 10:58, slack,-
4/9/17 13:09, flood,2.5
4/9/17 16:31, slack,-
4/9/17 19:54, ebb,-2.7
4/9/17 22:58, slack,-
4/10/17 1:21, flood,2.7
4/10/17 4:43, slack,-
4/10/17 8:12, ebb,-3.2
4/10/17 11:34, slack,-
4/10/17 13:51, flood,2.8
4/10/17 17:19, slack,-
4/10/17 20:36, ebb,-2.6
4/10/17 23:40, slack,-
4/11/17 1:57, flood,2.4
4/11/17 5:07, slack,-
4/11/17 8:48, ebb,-3.2
4/11/17 12:04, slack,-
4/11/17 14:27, flood,3
4/11/17 18:07, slack,-
4/11/17 21:18, ebb,-2.5
4/12/17 0:22, slack,-
4/12/17 2:27, flood,2.1
4/12/17 5:37, slack,-
4/12/17 9:18, ebb,-3.2
4/12/17 12:40, slack,-
4/12/17 15:09, flood,3
4/12/17 18:49, slack,-
4/12/17 21:54, ebb,-2.3
4/13/17 1:04, slack,-
4/13/17 3:03, flood,1.8
4/13/17 6:01, slack,-
4/13/17 9:48, ebb,-3.1
4/13/17 13:10, slack,-
4/13/17 15:39, flood,3
4/13/17 19:31, slack,-
4/13/17 22:36, ebb,-2.2
4/14/17 1:46, slack,-
4/14/17 3:33, flood,1.4
4/14/17 6:19, slack,-
4/14/17 10:18, ebb,-3
4/14/17 13:46, slack,-
4/14/17 16:21, flood,2.9
4/14/17 20:07, slack,-
4/14/17 23:12, ebb,-2
4/15/17 2:34, slack,-
4/15/17 4:09, flood,1
4/15/17 6:43, slack,-
4/15/17 10:54, ebb,-2.8
4/15/17 14:22, slack,-
4/15/17 16:57, flood,2.7
4/15/17 20:55, slack,-
