Date_Time (LST/LDT), Event, Speed (knots)
1/1/18 1:37, flood,3
1/1/18 5:26, slack,-
1/1/18 7:42, ebb,-1.6
1/1/18 11:27, slack,-
1/1/18 13:19, flood,1
1/1/18 15:32, slack,-
1/1/18 19:12, ebb,-3
1/1/18 23:27, slack,-
1/2/18 2:31, flood,3.2
1/2/18 6:14, slack,-
1/2/18 8:30, ebb,-1.7
1/2/18 12:21, slack,-
1/2/18 14:13, flood,1
1/2/18 16:20, slack,-
1/2/18 20:00, ebb,-3
1/3/18 0:09, slack,-
1/3/18 3:13, flood,3.3
1/3/18 7:02, slack,-
1/3/18 9:24, ebb,-1.8
1/3/18 13:15, slack,-
1/3/18 15:07, flood,1
1/3/18 17:14, slack,-
1/3/18 20:54, ebb,-2.9
1/4/18 0:57, slack,-
1/4/18 4:01, flood,3.2
1/4/18 7:44, slack,-
1/4/18 10:12, ebb,-1.9
1/4/18 14:15, slack,-
1/4/18 16:01, flood,0.9
1/4/18 18:08, slack,-
1/4/18 21:42, ebb,-2.7
1/5/18 1:45, slack,-
1/5/18 4:49, flood,3
1/5/18 8:26, slack,-
1/5/18 11:00, ebb,-2
1/5/18 15:15, slack,-
1/5/18 17:01, flood,0.9
1/5/18 19:08, slack,-
1/5/18 22:36, ebb,-2.3
1/6/18 2:33, slack,-
1/6/18 5:37, flood,2.7
1/6/18 9:08, slack,-
1/6/18 11:54, ebb,-2
1/6/18 16:15, slack,-
1/6/18 18:01, flood,0.8
1/6/18 20:14, slack,-
1/6/18 23:30, ebb,-2
1/7/18 3:27, slack,-
1/7/18 6:25, flood,2.3
1/7/18 9:50, slack,-
1/7/18 12:48, ebb,-2
1/7/18 17:21, slack,-
1/7/18 19:07, flood,0.8
1/7/18 21:26, slack,-
1/8/18 0:36, ebb,-1.6
1/8/18 4:21, slack,-
1/8/18 7:19, flood,1.9
1/8/18 10:32, slack,-
1/8/18 13:42, ebb,-2
1/8/18 18:21, slack,-
1/8/18 20:19, flood,0.9
1/8/18 22:56, slack,-
1/9/18 1:42, ebb,-1.2
1/9/18 5:27, slack,-
1/9/18 8:13, flood,1.4
1/9/18 11:14, slack,-
1/9/18 14:36, ebb,-2.1
1/9/18 19:21, slack,-
1/9/18 21:31, flood,1.1
1/10/18 0:26, slack,-
1/10/18 3:00, ebb,-1
1/10/18 6:33, slack,-
1/10/18 9:07, flood,1.1
1/10/18 11:50, slack,-
1/10/18 15:30, ebb,-2.1
1/10/18 20:09, slack,-
1/10/18 22:43, flood,1.3
1/11/18 1:56, slack,-
1/11/18 4:12, ebb,-0.9
1/11/18 7:51, slack,-
1/11/18 10:01, flood,0.8
1/11/18 12:32, slack,-
1/11/18 16:18, ebb,-2.2
1/11/18 20:57, slack,-
1/11/18 23:37, flood,1.6
1/12/18 3:08, slack,-
1/12/18 5:24, ebb,-0.9
1/12/18 9:03, slack,-
1/12/18 11:01, flood,0.7
1/12/18 13:08, slack,-
1/12/18 17:06, ebb,-2.2
1/12/18 21:39, slack,-
1/13/18 0:25, flood,1.8
1/13/18 4:02, slack,-
1/13/18 6:18, ebb,-1
1/13/18 10:09, slack,-
1/13/18 11:49, flood,0.6
1/13/18 13:50, slack,-
1/13/18 17:54, ebb,-2.3
1/13/18 22:15, slack,-
1/14/18 1:07, flood,2
1/14/18 4:50, slack,-
1/14/18 7:06, ebb,-1.1
1/14/18 11:03, slack,-
1/14/18 12:37, flood,0.5
1/14/18 14:32, slack,-
1/14/18 18:30, ebb,-2.3
1/14/18 22:51, slack,-
1/15/18 1:49, flood,2.2
1/15/18 5:26, slack,-
1/15/18 7:48, ebb,-1.2
1/15/18 11:51, slack,-
1/15/18 13:19, flood,0.5
1/15/18 15:08, slack,-
1/15/18 19:06, ebb,-2.3
1/15/18 23:21, slack,-
1/16/18 2:25, flood,2.3
1/16/18 6:02, slack,-
1/16/18 8:24, ebb,-1.3
1/16/18 12:33, slack,-
1/16/18 14:01, flood,0.5
1/16/18 15:50, slack,-
1/16/18 19:42, ebb,-2.3
1/16/18 23:57, slack,-
1/17/18 2:55, flood,2.4
1/17/18 6:38, slack,-
1/17/18 9:00, ebb,-1.4
1/17/18 13:15, slack,-
1/17/18 14:37, flood,0.5
1/17/18 16:26, slack,-
1/17/18 20:18, ebb,-2.2
1/18/18 0:27, slack,-
1/18/18 3:25, flood,2.4
1/18/18 7:08, slack,-
1/18/18 9:36, ebb,-1.5
1/18/18 13:51, slack,-
1/18/18 15:13, flood,0.5
1/18/18 17:02, slack,-
1/18/18 20:54, ebb,-2.2
1/19/18 1:03, slack,-
1/19/18 4:01, flood,2.3
1/19/18 7:38, slack,-
1/19/18 10:12, ebb,-1.5
1/19/18 14:27, slack,-
1/19/18 15:55, flood,0.5
1/19/18 17:44, slack,-
1/19/18 21:30, ebb,-2.1
1/20/18 1:33, slack,-
1/20/18 4:31, flood,2.2
1/20/18 8:08, slack,-
1/20/18 10:42, ebb,-1.6
1/20/18 15:09, slack,-
1/20/18 16:37, flood,0.5
1/20/18 18:26, slack,-
1/20/18 22:06, ebb,-1.9
1/21/18 2:09, slack,-
1/21/18 5:07, flood,2.1
1/21/18 8:32, slack,-
1/21/18 11:18, ebb,-1.6
1/21/18 15:51, slack,-
1/21/18 17:19, flood,0.5
1/21/18 19:20, slack,-
1/21/18 22:48, ebb,-1.7
1/22/18 2:45, slack,-
1/22/18 5:43, flood,1.9
1/22/18 9:02, slack,-
1/22/18 11:54, ebb,-1.7
1/22/18 16:33, slack,-
1/22/18 18:13, flood,0.6
1/22/18 20:20, slack,-
1/22/18 23:36, ebb,-1.5
1/23/18 3:33, slack,-
1/23/18 6:19, flood,1.6
1/23/18 9:32, slack,-
1/23/18 12:42, ebb,-1.8
1/23/18 17:21, slack,-
1/23/18 19:13, flood,0.7
1/23/18 21:38, slack,-
1/24/18 0:36, ebb,-1.2
1/24/18 4:21, slack,-
1/24/18 7:07, flood,1.3
1/24/18 10:02, slack,-
1/24/18 13:30, ebb,-1.9
1/24/18 18:09, slack,-
1/24/18 20:19, flood,0.9
1/24/18 23:08, slack,-
1/25/18 1:48, ebb,-1
1/25/18 5:27, slack,-
1/25/18 7:55, flood,1.1
1/25/18 10:44, slack,-
1/25/18 14:24, ebb,-2.1
1/25/18 19:03, slack,-
1/25/18 21:31, flood,1.3
1/26/18 0:44, slack,-
1/26/18 3:06, ebb,-0.9
1/26/18 6:45, slack,-
1/26/18 8:55, flood,0.8
1/26/18 11:26, slack,-
1/26/18 15:18, ebb,-2.2
1/26/18 19:51, slack,-
1/26/18 22:37, flood,1.7
1/27/18 2:14, slack,-
1/27/18 4:24, ebb,-1
1/27/18 8:03, slack,-
1/27/18 10:01, flood,0.7
1/27/18 12:20, slack,-
1/27/18 16:18, ebb,-2.4
1/27/18 20:45, slack,-
1/27/18 23:37, flood,2.1
1/28/18 3:20, slack,-
1/28/18 5:36, ebb,-1.1
1/28/18 9:21, slack,-
1/28/18 11:07, flood,0.7
1/28/18 13:20, slack,-
1/28/18 17:12, ebb,-2.6
1/28/18 21:33, slack,-
1/29/18 0:37, flood,2.5
1/29/18 4:20, slack,-
1/29/18 6:36, ebb,-1.4
1/29/18 10:21, slack,-
1/29/18 12:13, flood,0.8
1/29/18 14:20, slack,-
1/29/18 18:12, ebb,-2.8
1/29/18 22:21, slack,-
1/30/18 1:25, flood,2.9
1/30/18 5:08, slack,-
1/30/18 7:30, ebb,-1.6
1/30/18 11:15, slack,-
1/30/18 13:13, flood,1
1/30/18 15:20, slack,-
1/30/18 19:00, ebb,-2.9
1/30/18 23:09, slack,-
1/31/18 2:13, flood,3.1
1/31/18 5:56, slack,-
1/31/18 8:18, ebb,-1.8
1/31/18 12:09, slack,-
1/31/18 14:07, flood,1.1
1/31/18 16:20, slack,-
1/31/18 19:54, ebb,-2.9
1/31/18 23:57, slack,-
2/1/18 3:01, flood,3.1
2/1/18 6:38, slack,-
2/1/18 9:00, ebb,-2
2/1/18 12:57, slack,-
2/1/18 14:55, flood,1.2
2/1/18 17:20, slack,-
2/1/18 20:42, ebb,-2.8
2/2/18 0:45, slack,-
2/2/18 3:43, flood,3
2/2/18 7:14, slack,-
2/2/18 9:48, ebb,-2.1
2/2/18 13:45, slack,-
2/2/18 15:49, flood,1.3
2/2/18 18:14, slack,-
2/2/18 21:30, ebb,-2.5
2/3/18 1:33, slack,-
2/3/18 4:25, flood,2.8
2/3/18 7:50, slack,-
2/3/18 10:30, ebb,-2.1
2/3/18 14:39, slack,-
2/3/18 16:43, flood,1.3
2/3/18 19:14, slack,-
2/3/18 22:18, ebb,-2.2
2/4/18 2:15, slack,-
2/4/18 5:07, flood,2.4
2/4/18 8:26, slack,-
2/4/18 11:18, ebb,-2.1
2/4/18 15:33, slack,-
2/4/18 17:37, flood,1.2
2/4/18 20:14, slack,-
2/4/18 23:12, ebb,-1.9
2/5/18 3:03, slack,-
2/5/18 5:49, flood,2
2/5/18 9:02, slack,-
2/5/18 12:06, ebb,-2.1
2/5/18 16:27, slack,-
2/5/18 18:37, flood,1.2
2/5/18 21:20, slack,-
2/6/18 0:06, ebb,-1.5
2/6/18 3:57, slack,-
2/6/18 6:37, flood,1.5
2/6/18 9:38, slack,-
2/6/18 12:54, ebb,-2
2/6/18 17:27, slack,-
2/6/18 19:43, flood,1.1
2/6/18 22:32, slack,-
2/7/18 1:12, ebb,-1.1
