Date_Time (LST/LDT), Event, Speed (knots)
1/1/17 0:48, slack,-
1/1/17 3:48, flood,0.8
1/1/17 6:36, slack,-
1/1/17 10:24, ebb,-0.6
1/1/17 13:48, slack,-
1/1/17 16:00, flood,0.5
1/1/17 18:06, slack,-
1/1/17 20:54, ebb,-0.8
1/2/17 1:36, slack,-
1/2/17 4:30, flood,0.8
1/2/17 7:24, slack,-
1/2/17 11:18, ebb,-0.5
1/2/17 14:36, slack,-
1/2/17 16:48, flood,0.5
1/2/17 19:00, slack,-
1/2/17 21:54, ebb,-0.7
1/3/17 2:36, slack,-
1/3/17 5:18, flood,0.7
1/3/17 8:12, slack,-
1/3/17 12:18, ebb,-0.5
1/3/17 15:36, slack,-
1/3/17 17:42, flood,0.4
1/3/17 20:00, slack,-
1/4/17 0:00, ebb,-0.6
1/4/17 3:30, slack,-
1/4/17 6:12, flood,0.6
1/4/17 9:06, slack,-
1/4/17 13:24, ebb,-0.5
1/4/17 16:48, slack,-
1/4/17 19:00, flood,0.4
1/4/17 21:12, slack,-
1/5/17 1:18, ebb,-0.5
1/5/17 4:36, slack,-
1/5/17 7:18, flood,0.5
1/5/17 10:00, slack,-
1/5/17 14:18, ebb,-0.6
1/5/17 18:00, slack,-
1/5/17 20:24, flood,0.4
1/5/17 22:36, slack,-
1/6/17 2:24, ebb,-0.5
1/6/17 5:48, slack,-
1/6/17 8:30, flood,0.4
1/6/17 10:54, slack,-
1/6/17 15:12, ebb,-0.7
1/6/17 19:06, slack,-
1/6/17 21:36, flood,0.5
1/7/17 0:18, slack,-
1/7/17 3:24, ebb,-0.4
1/7/17 7:00, slack,-
1/7/17 9:36, flood,0.4
1/7/17 11:48, slack,-
1/7/17 16:06, ebb,-0.8
1/7/17 20:06, slack,-
1/7/17 22:42, flood,0.6
1/8/17 1:42, slack,-
1/8/17 4:24, ebb,-0.4
1/8/17 8:06, slack,-
1/8/17 10:42, flood,0.4
1/8/17 12:42, slack,-
1/8/17 16:48, ebb,-0.8
1/8/17 21:00, slack,-
1/8/17 23:36, flood,0.8
1/9/17 2:42, slack,-
1/9/17 5:24, ebb,-0.4
1/9/17 9:06, slack,-
1/9/17 11:36, flood,0.5
1/9/17 13:30, slack,-
1/9/17 17:36, ebb,-0.9
1/9/17 21:42, slack,-
1/10/17 0:24, flood,0.9
1/10/17 3:30, slack,-
1/10/17 6:12, ebb,-0.5
1/10/17 10:06, slack,-
1/10/17 12:24, flood,0.5
1/10/17 14:18, slack,-
1/10/17 18:18, ebb,-0.9
1/10/17 22:24, slack,-
1/11/17 1:06, flood,1
1/11/17 4:06, slack,-
1/11/17 7:00, ebb,-0.6
1/11/17 10:54, slack,-
1/11/17 13:12, flood,0.6
1/11/17 15:12, slack,-
1/11/17 18:54, ebb,-0.9
1/11/17 23:06, slack,-
1/12/17 1:48, flood,1
1/12/17 4:42, slack,-
1/12/17 7:42, ebb,-0.6
1/12/17 11:42, slack,-
1/12/17 14:00, flood,0.6
1/12/17 16:00, slack,-
1/12/17 19:42, ebb,-0.8
1/12/17 23:42, slack,-
1/13/17 2:30, flood,1
1/13/17 5:18, slack,-
1/13/17 8:36, ebb,-0.7
1/13/17 12:24, slack,-
1/13/17 14:42, flood,0.6
1/13/17 16:42, slack,-
1/13/17 20:24, ebb,-0.8
1/14/17 0:18, slack,-
1/14/17 3:12, flood,1
1/14/17 5:54, slack,-
1/14/17 9:18, ebb,-0.7
1/14/17 13:12, slack,-
1/14/17 15:24, flood,0.6
1/14/17 17:24, slack,-
1/14/17 21:12, ebb,-0.8
1/15/17 1:00, slack,-
1/15/17 3:54, flood,1
1/15/17 6:36, slack,-
1/15/17 10:00, ebb,-0.7
1/15/17 13:54, slack,-
1/15/17 16:06, flood,0.5
1/15/17 18:06, slack,-
1/15/17 22:00, ebb,-0.7
1/16/17 1:36, slack,-
1/16/17 4:30, flood,0.9
1/16/17 7:18, slack,-
1/16/17 10:48, ebb,-0.7
1/16/17 14:36, slack,-
1/16/17 16:48, flood,0.4
1/16/17 18:54, slack,-
1/16/17 22:42, ebb,-0.7
1/17/17 2:18, slack,-
1/17/17 5:12, flood,0.7
1/17/17 7:54, slack,-
1/17/17 11:36, ebb,-0.6
1/17/17 15:24, slack,-
1/17/17 17:36, flood,0.3
1/17/17 19:42, slack,-
1/17/17 23:36, ebb,-0.6
1/18/17 3:00, slack,-
1/18/17 5:48, flood,0.6
1/18/17 8:36, slack,-
1/18/17 12:24, ebb,-0.6
1/18/17 16:18, slack,-
1/18/17 18:36, flood,0.3
1/18/17 20:36, slack,-
1/19/17 0:36, ebb,-0.4
1/19/17 3:42, slack,-
1/19/17 6:30, flood,0.4
1/19/17 9:12, slack,-
